# Source: https://github.com/BlueSkyLT/siteselect_sg/blob/main/dataset/hdb.csv (trimmed to 5 columns)
blk_no,street,lat,lng,postal
103A,EDGEFIELD PLAINS,1.39825531783982,103.904753996381,821103
103A,RIVERVALE WALK,1.38321508933523,103.900657577212,541103
103B,BIDADARI PK DR,1.33508985686117,103.871337510446,342103
103B,CANBERRA ST,1.45056599465441,103.831238741555,752103
103B,DEPOT RD,1.28073692384594,103.813135678562,102103
103B,EDGEFIELD PLAINS,1.39773127538403,103.90468537415,822103
103C,EDGEFIELD PLAINS,1.39726660845387,103.90453836308,823103
104,ALJUNIED CRES,1.32007895994221,103.882813553302,380104
104,BEDOK NTH AVE 4,1.3332985212474,103.936601473643,460104
104,BEDOK RESERVOIR RD,1.32924536652386,103.909923721507,470104
104,BISHAN ST 12,1.3456750211197,103.84803290576,570104
104,BT PURMEI RD,1.27239853587858,103.825625504182,090104
104,BT BATOK CTRL,1.34899500255547,103.747258218606,650104
104,C'WEALTH CRES,1.30795875311898,103.799976942939,140104
104,CANBERRA ST,1.45027967438307,103.831896894891,750104
104,CLEMENTI ST 14,1.32294968512724,103.769189152266,120104
104,GANGSA RD,1.37880399486152,103.76796875654,670104
104,HENDERSON CRES,1.2893692748935,103.821538089569,150104
104,HOUGANG AVE 1,1.35478438666054,103.890318475929,530104
104,JLN RAJAH,1.32780496961457,103.853262284564,321104
104,JLN BT MERAH,1.28102515462893,103.82446093445,160104
104,JLN DUSUN,1.32842530547543,103.844142365034,320104
104,JURONG EAST ST 13,1.33658465311802,103.737623303842,600104
104,LENGKONG TIGA,1.32563496745023,103.909815198327,410104
104,LOR 1 TOA PAYOH,1.34010887675625,103.849107848181,310104
104,PASIR RIS ST 12,1.36795278578738,103.958702642513,510104
104,POTONG PASIR AVE 1,1.3343391689203,103.869158899303,350104
104,RIVERVALE WALK,1.38262745864985,103.900929877213,540104
104,SERANGOON NTH AVE 1,1.37059316193953,103.871086801722,550104
104,SPOTTISWOODE PK RD,1.27442754696062,103.834878784712,080104
104,TAMPINES ST 11,1.34720576651075,103.946641750013,520104
104,TECK WHYE LANE,1.37708162127187,103.752870448301,680104
104,TOWNER RD,1.32028930650381,103.858510209665,327827
104,WHAMPOA DR,1.3207995912383,103.853327785421,323104
104,WOODLANDS ST 13,1.43646587087026,103.781576865168,730104
104,YISHUN RING RD,1.43144775158984,103.828537671885,760104
104A,ANG MO KIO ST 11,1.37182700854497,103.838803655863,560104
104A,BIDADARI PK DR,1.33532197788922,103.870933993338,341104
104A,CANBERRA ST,1.45035225780871,103.832262400576,751104
104A,DEPOT RD,1.28045561330579,103.812317740785,101104
104A,EDGEFIELD PLAINS,1.3968057047795,103.905054187798,821104
104A,HENDERSON CRES,1.28903386001949,103.821487214176,151104
104B,ANG MO KIO ST 11,1.37151151416054,103.838458787545,561104
104B,CANBERRA ST,1.45007421711069,103.831377046227,752104
104B,DEPOT RD,1.28049143987378,103.812100811742,102104
104B,EDGEFIELD PLAINS,1.39660886204199,103.905303792463,822104
104C,ANG MO KIO ST 11,1.37193315907216,103.838330266768,562104
104C,CANBERRA ST,1.44970999451163,103.831775965127,753104
104C,DEPOT RD,1.28054679818301,103.811571533865,103104
104D,CANBERRA ST,1.44985632437762,103.83236697954,754104
105,ALJUNIED CRES,1.31946862097465,103.882751492944,380105
105,ANG MO KIO AVE 4,1.37231328287072,103.837601112788,560105
105,BEDOK RESERVOIR RD,1.32914437941094,103.909112780576,470105
105,BEDOK NTH AVE 4,1.33372280929,103.936517719048,460105
105,BISHAN ST 12,1.34589493632505,103.847365252767,570105
105,BIDADARI PK DR,1.33378443640283,103.870408260143,340105
105,BT BATOK CTRL,1.3485726542005,103.747156223784,650105
105,BT PURMEI RD,1.27248301325334,103.824703021719,090105
105,CANBERRA ST,1.44885564679911,103.832409172149,750105
105,CLEMENTI ST 12,1.32271179028812,103.76988810369,120105
105,DEPOT RD,1.28089298012014,103.812355313333,100105
105,EDGEFIELD PLAINS,1.39722938599025,103.90559086907,820105
105,GANGSA RD,1.37831242120574,103.767763308976,670105
105,HENDERSON CRES,1.29021420176947,103.822356844711,150105
105,HOUGANG AVE 1,1.35408273910145,103.890130407955,530105
105,JLN BT MERAH,1.28063239751755,103.824935469367,160105
105,JLN RAJAH,1.32857909987613,103.85387252356,320105
105,JURONG EAST ST 13,1.33738746819329,103.738527627347,600105
105,LENGKONG TIGA,1.32564831471452,103.91011217937,410105
105,LOR 1 TOA PAYOH,1.3404226406096,103.849109442063,310105
105,PASIR RIS ST 12,1.36847895344914,103.957111490512,510105
105,POTONG PASIR AVE 1,1.3344146057866,103.86869426623,350105
105,RIVERVALE WALK,1.38215613071495,103.900711925224,540105
105,SERANGOON NTH AVE 1,1.37024745860601,103.870225980491,550105
105,SIMEI ST 1,1.34092459427981,103.950742498791,520105
105,SPOTTISWOODE PK RD,1.27380075624949,103.834482197156,080105
105,TAMPINES ST 11,1.3480931246949,103.947177564477,521105
105,TECK WHYE LANE,1.37765001961331,103.7529943035,680105
105,TOWNER RD,1.3208130428228,103.861346713506,321105
105,WOODLANDS ST 13,1.43684476168491,103.781579113316,730105
105,YISHUN RING RD,1.43171836662838,103.828114256975,760105
105A,BIDADARI PK DR,1.33400699237548,103.870430572231,341105
105A,DEPOT RD,1.28107116546835,103.811405730352,101105
105A,EDGEFIELD PLAINS,1.3969413315622,103.905729497383,821105
105A,JLN BT MERAH,1.28066118670896,103.824258381594,161105
105B,BIDADARI PK DR,1.33347403879152,103.870490405284,342105
105B,DEPOT RD,1.28110806806352,103.811133013507,102105
105B,EDGEFIELD PLAINS,1.39720646427031,103.906002280084,822105
105C,EDGEFIELD PLAINS,1.39767203537129,103.905598767902,823105
105D,EDGEFIELD PLAINS,1.39717530594813,103.905229595049,824105
106,ALJUNIED CRES,1.31905494962151,103.882900918125,380106
106,ANG MO KIO AVE 4,1.37193370323489,103.837486061851,560106
106,BEDOK NTH AVE 4,1.33445895034228,103.937087136194,460106
106,BEDOK RESERVOIR RD,1.32950152189669,103.909381688756,470106
106,BISHAN ST 12,1.34610070068315,103.847847191353,570106
106,BIDADARI PK DR,1.33369947750043,103.870796085779,340106
106,BT BATOK CTRL,1.3482223088624,103.74718849849,650106
106,BT PURMEI RD,1.2729893703256,103.825626826099,090106
106,C'WEALTH CRES,1.3082260330781,103.799591309893,140106
106,CANBERRA ST,1.44913843217997,103.832773396234,750106
106,CLEMENTI ST 12,1.32191467282846,103.769815226286,120106
106,GANGSA RD,1.3779019997366,103.767412279054,670106
106,HENDERSON CRES,1.28942607947152,103.822276781927,150106
106,HOUGANG AVE 1,1.35370313485788,103.890680820842,530106
106,JLN DUSUN,1.32855771177594,103.844796773619,320106
106,JLN BT MERAH,1.28024258715197,103.824523574131,160106
106,JLN RAJAH,1.32847655795117,103.854698874866,321106
106,JURONG EAST ST 13,1.33724965052823,103.737674650927,600106
106,LENGKONG TIGA,1.32508845931345,103.91000876961,410106
106,LOR 1 TOA PAYOH,1.34042195552491,103.848185018749,310106
106,PASIR RIS ST 12,1.36801255048337,103.95765313312,510106
106,POTONG PASIR AVE 1,1.33410033566662,103.868171273744,350106
106,PUNGGOL FIELD,1.39639185309242,103.908291812257,820106
106,RIVERVALE WALK,1.38249729178426,103.900321341916,540106
106,SERANGOON NTH AVE 1,1.37024462107298,103.87082295041,550106
106,SIMEI ST 1,1.34188521733435,103.950833481196,520106
106,SPOTTISWOODE PK RD,1.27356673846343,103.83405815603,080106
106,TAMPINES ST 11,1.34753918631699,103.94767543125,521106
106,TECK WHYE LANE,1.37795798795128,103.752931630674,680106
106,TOWNER RD,1.32102001237887,103.860997837489,322106
106,WOODLANDS ST 13,1.4367694338717,103.782224172938,730106
106,YISHUN RING RD,1.43147861432349,103.827452004212,760106
106A,BIDADARI PK DR,1.33413899991746,103.871259715052,341106
106A,CANBERRA ST,1.44850335223601,103.833100432078,751106
106A,DEPOT RD,1.28061364977894,103.810967870883,101106
106A,HENDERSON CRES,1.28899335551083,103.822345156851,151106
106A,LOR 1 TOA PAYOH,1.34057895380256,103.847934774435,311106
106A,PUNGGOL FIELD,1.3966048607668,103.90834413446,821106
106B,BIDADARI PK DR,1.33364211083176,103.871164760412,342106
106B,CANBERRA ST,1.44803885202675,103.833228909288,752106
106B,DEPOT RD,1.28064950442563,103.810750913525,102106
106B,PUNGGOL FIELD,1.39709453228144,103.907955363138,822106
106C,PUNGGOL FIELD,1.39736664207497,103.907562230122,823106
